Porosity,Mat. Young Modulus,Ultimate Strength,Mat. Fracture Strain,Young Modulus,Yield Strength,Fracture Strength,Fracture Strain,Toughness,Strain Rate
57.438,1434,45,101,89.4527,3.9536,5.7262,68.8672,3.1191,0.004902166
58.4297,1434,45,101,66.6248,2.9687,4.313,65.8371,2.2623,0.004902091
62.697,1434,45,101,55.2296,2.3923,3.1562,48.2796,1.2714,0.004902127
68.4118,1434,45,101,47.7422,2.0497,2.7819,57.6873,1.3138,0.004902147
68.5434,1434,45,101,40.6524,1.863,2.8818,73.1958,1.6385,0.004902057
69.6431,1434,45,101,74.8085,3.6597,4.9371,61.9891,2.5082,0.004902117
70.7194,1434,45,101,38.8697,1.8562,2.9899,80.897,1.8311,0.004902098
72.4254,1434,45,101,36.1532,1.6319,2.796,82.8174,1.7125,0.00490207
72.5757,1434,45,101,47.9845,2.1581,3.6132,78.684,2.1232,0.004902088
73.4546,1434,45,101,44.6029,2.0905,2.7258,45.1796,1.0132,0.004902119
76.8008,1434,45,101,16.5589,0.7489,1.0743,36.5893,0.312,0.004902285
78.5772,1434,45,101,15.6673,0.721,1.2875,58.3915,0.5578,0.004902096
83.244,1434,45,101,20.9996,0.9057,1.2039,29.9615,0.293,0.004902153
87.5913,1434,45,101,15.457,0.6919,1.0199,41.449,0.3258,0.004902128
92.587,1434,45,101,20.9461,0.8686,1.0839,24.3253,0.2142,0.004902349
23.1404,1378,52,127,224.921,8.3359,9.9958,13.8711,1.0919,0.004902375
28.8891,1378,52,127,178.2018,6.5788,7.3998,14.4725,0.8682,0.004902296
33.3825,1378,52,127,157.6876,6.2672,6.935,19.4159,1.1271,0.004902252
34.8898,1378,52,127,160.4891,6.7457,7.2562,19.5062,1.1916,0.004902158
37.2434,1378,52,127,143.8438,5.5623,6.2063,21.9511,1.1549,0.004902346
40.5956,1378,52,127,126.6959,4.237,5.0698,24.2424,1.0289,0.004902163
52.2356,1378,52,127,77.1736,2.7352,3.6257,30.2648,0.9017,0.004902126
60.1287,1378,52,127,55.2315,2.0447,2.8355,33.5678,0.7629,0.004902106
62.2732,1378,52,127,51.4837,1.9842,2.8274,36.5555,0.8273,0.004902318
65.8821,1378,52,127,34.3213,1.3753,1.8834,29.5305,0.4397,0.004902089
70.6655,1378,52,127,36.7362,1.4587,2.066,40.0232,0.6676,0.004902131
78.3922,1378,52,127,24.215,0.9207,1.3149,24.7832,0.2551,0.004902374
82.5622,1378,52,127,11.1353,0.5919,0.9615,42.3652,0.2947,0.004902096
88.5344,1378,52,127,6.4221,0.3155,0.4461,15.5894,0.0465,0.004902573
27.9213,1245,38,141,174.7341,7.8119,8.6579,22.7458,1.6931,0.004902777
30.0926,1245,38,141,158.439,7.2225,7.4695,20.2478,1.2876,0.004902156
30.9167,1245,38,141,138.8429,5.9396,6.5607,20.4182,1.1382,0.004902334
32.3287,1245,38,141,156.7307,7.6041,7.8945,21.6754,1.4719,0.004902284
33.7593,1245,38,141,144.1993,6.8434,7.0979,23.2053,1.4293,0.004902278
35.7731,1245,38,141,133.5305,5.8534,6.2392,21.1768,1.1226,0.004902171
39.5509,1245,38,141,133.1693,4.6425,5.1569,19.9996,0.8766,0.004902071
41.2454,1245,38,141,122.0848,4.8452,5.293,21.3778,0.9721,0.004902304
50.7546,1245,38,141,89.6607,3.3055,3.937,29.503,0.9851,0.004902089
51.7685,1245,38,141,93.0889,3.3199,3.9747,28.2918,0.9479,0.004902366
59.2963,1245,38,141,68.6472,2.5152,3.2587,34.4095,0.9336,0.0049021
60.3241,1245,38,141,61.0976,2.2802,3.0404,40.5636,1.0347,0.004902131
60.5417,1245,38,141,69.3208,2.4739,3.2265,33.307,0.8926,0.004902298
73.9907,1245,38,141,33.8082,1.4129,2.0096,43.9339,0.7057,0.004902091
84.7407,1245,38,141,20.7467,0.9699,1.351,46.0446,0.4824,0.00490207
86.7963,1245,38,141,9.198,0.4845,1.0118,60.4711,0.4117,0.00490213
88.6065,1245,38,141,16.1909,0.5922,0.7789,16.282,0.0948,0.004902336
30.4789,1494,39,105,199.6296,8.7261,10.685,16.3254,1.37,0.00490369
35.0296,1494,39,105,167.2423,7.3675,8.2936,15.9866,1.0567,0.004902622
39.0467,1494,39,105,157.2437,7.4081,8.6523,20.2252,1.4117,0.004902443
40.0316,1494,39,105,146.2888,6.5577,7.6005,18.2912,1.1201,0.004902375
44.9835,1494,39,105,135.0379,6.0943,7.0685,21.8025,1.2762,0.004902423
45.6675,1494,39,105,111.2655,4.4069,5.2727,18.2095,0.7678,0.004902398
46.4928,1494,39,105,124.3672,4.6184,5.92,21.5671,1.0321,0.004902335
49.712,1494,39,105,113.8183,4.6984,5.7052,22.7818,1.0531,0.004902221
57.345,1494,39,105,80.1639,2.8915,3.4532,16.5916,0.457,0.004902336
59.6249,1494,39,105,71.5379,3.0102,3.6311,20.8312,0.6007,0.004902311
60.3544,1494,39,105,75.7038,3.3009,4.2602,26.0597,0.8895,0.004902251
61.7953,1494,39,105,53.725,1.8053,2.5903,23.6861,0.4825,0.004902277
65.2927,1494,39,105,52.5083,2.1768,2.9279,27.6641,0.6421,0.004902287
68.3614,1494,39,105,55.6329,2.0304,2.88,28.4731,0.6544,0.004902357
77.0659,1494,39,105,24.2993,1.2111,1.8722,42.1186,0.609,0.00490211
85.8024,1494,39,105,6.2916,0.1798,0.2553,10.3584,0.0181,0.00490258
60.4928,1806,53,43,128.2001,4.7821,6.1712,20.6303,1.0522,0.004902833
62.0953,1806,53,43,120.6574,4.9373,6.1179,22.255,1.1231,0.004902886
62.2148,1806,53,43,119.0153,4.7342,5.9251,20.5521,0.9974,0.004902709
62.9408,1806,53,43,112.9354,4.2713,5.3451,20.945,0.9232,0.004902944
63.3437,1806,53,43,106.5851,4.1361,5.1242,21.7076,0.9206,0.004903014
69.063,1806,53,43,77.9785,2.8939,3.7845,25.3786,0.791,0.004902337
69.1914,1806,53,43,80.8282,3.1031,3.9783,23.8552,0.7845,0.004902524
76.7301,1806,53,43,42.7623,1.6235,2.2383,27.732,0.5008,0.004902498
77.2082,1806,53,43,52.1353,1.8003,2.5226,23.9771,0.4888,0.004902544
79.3286,1806,53,43,39.9999,1.3301,1.9654,19.9793,0.309,0.004902626
87.1329,1806,53,43,23.2332,0.804,1.0814,11.4223,0.0897,0.0049027
87.4782,1806,53,43,19.162,0.6595,0.8493,11.3809,0.0694,0.004902724
87.4915,1806,53,43,25.8591,0.839,1.078,11.9401,0.0974,0.004902513
38.0897,1752,45,41,278.1811,9.8081,13.5711,12.0921,1.1804,0.004903812
40.5585,1752,45,41,244.9817,8.4894,10.7478,11.0232,0.8677,0.004904203
41.9181,1752,45,41,246.9052,7.8506,10.62,10.5075,0.8157,0.00490494
43.3553,1752,45,41,245.872,9.5512,11.7762,11.3845,0.9828,0.004904136
43.8905,1752,45,41,233.6299,9.0973,11.2923,11.5456,0.9346,0.004904098
45.8069,1752,45,41,214.9752,8.2826,9.8052,11.2616,0.8211,0.004904585
48.3793,1752,45,41,197.5141,6.6775,8.1884,8.7981,0.5104,0.004904261
59.1825,1752,45,41,135.3685,3.8092,4.9358,8.7797,0.3176,0.004902342
61.8326,1752,45,41,144.1169,4.8582,5.9009,11.0038,0.4934,0.00490305
63.5461,1752,45,41,125.2682,4.057,4.8125,11.3599,0.4252,0.004903317
66.2998,1752,45,41,83.8,2.5945,3.0485,10.6568,0.2494,0.004902419
69.1571,1752,45,41,97.4862,3.0942,3.9484,15.3325,0.4853,0.004902579
72.3035,1752,45,41,50.0121,1.5345,1.9859,11.6845,0.1741,0.004902663
76.3693,1752,45,41,36.9569,1.2296,1.6357,13.071,0.1574,0.004902447
76.9088,1752,45,41,43.1108,1.221,1.4721,9.4705,0.1049,0.004902474
78.6352,1752,45,41,51.4904,1.5948,2.2027,19.1377,0.3402,0.004902724
84.3152,1752,45,41,27.3292,0.7233,0.9544,8.8182,0.0602,0.004902717
37.5832,1305,37,110,119.95,5.1775,5.8759,19.5639,0.9672,0.004902091
38.4624,1305,37,110,127.0355,6.2201,6.6553,26.4381,1.5237,0.0049023
38.9534,1305,37,110,120.9999,5.6711,6.568,30.8203,1.756,0.004902083
38.9955,1305,37,110,125.799,5.3658,6.0321,29.0177,1.5077,0.004902063
41.5676,1305,37,110,119.9441,5.612,6.0856,27.882,1.4739,0.004902203
45.5706,1305,37,110,108.9808,4.4452,4.9998,26.3521,1.1331,0.004902154
47.9743,1305,37,110,112.3869,4.4059,5.1827,33.704,1.5171,0.004902197
55.8588,1305,37,110,84.3393,3.0074,3.631,27.4331,0.845,0.004902094
58.9453,1305,37,110,79.4592,3.2283,3.9767,38.7551,1.3091,0.004902158
59.2493,1305,37,110,83.9558,2.9452,3.9083,39.7764,1.3291,0.004902191
63.9491,1305,37,110,51.5435,2.1582,2.8672,36.1316,0.8425,0.004902089
66.3669,1305,37,110,53.6758,2.1336,3.0569,48.3058,1.202,0.00490204
75.6871,1305,37,110,42.2092,1.5976,2.3177,47.6148,0.8987,0.004902098
77.8008,1305,37,110,32.6016,1.3825,1.9645,46.1327,0.73,0.004902051
84.5162,1305,37,110,15.1036,0.832,1.392,53.6196,0.557,0.004902158
86.0922,1305,37,110,20.0042,0.8701,1.1748,20.8964,0.1815,0.004902073
90.0672,1305,37,110,8.6138,0.3512,0.5215,19.9268,0.0743,0.004902188
36.7771,1673,46,51,204.0477,11.9299,13.0436,14.3173,1.3514,0.004904636
39.8339,1673,46,51,217.3609,10.8982,12.5582,14.6294,1.3426,0.004904452
42.7415,1673,46,51,181.3931,10.6998,11.1946,14.8189,1.2451,0.004905863
45.5723,1673,46,51,189.166,10.046,11.1052,15.0957,1.2722,0.00490413
45.6808,1673,46,51,189.9644,9.9554,10.9564,13.455,1.0896,0.004906046
